,team,projected_position,avgheight,avgweight,avgbroad,avgarm,avgfourty,avgten,avgthree,avgshuttle,avgvert
1,ARI,C,76.1,307.0,104.00,32.1,5.23,1.78,7.77,4.78,23.50
2,ARI,CB,71.3,204.8,123.27,31.4,4.40,1.57,6.70,4.09,36.02
3,ARI,DI,75.5,294.0,116.00,33.9,4.87,1.67,NA,NA,35.00
4,ARI,ED,75.2,254.8,122.72,33.0,4.72,1.64,7.19,4.40,33.61
5,ARI,G,74.1,311.0,108.00,33.0,5.07,1.83,7.78,4.84,27.00
6,ARI,HB,70.6,216.5,124.51,30.8,4.56,1.62,6.91,4.21,40.56
7,ARI,LB,74.6,240.5,125.56,33.2,4.56,1.58,7.28,4.36,35.73
8,ARI,QB,72.3,214.1,111.00,29.7,4.92,1.71,7.09,4.28,31.00
9,ARI,S,69.3,191.3,115.82,30.8,4.47,1.56,6.80,4.10,33.11
10,ARI,T,77.6,310.6,107.65,35.1,5.12,1.84,7.87,4.64,31.00
11,ARI,TE,77.2,255.1,115.93,33.7,4.51,1.59,7.26,4.39,33.84
12,ARI,WR,71.3,200.8,121.47,30.9,4.40,1.57,6.97,4.26,37.26
13,ATL,C,77.0,314.0,NA,33.0,5.16,NA,NA,NA,NA
14,ATL,CB,72.2,195.1,126.61,31.9,4.44,1.55,6.87,4.10,35.86
15,ATL,DI,75.6,308.4,108.90,32.5,5.06,1.75,7.83,4.61,32.04
16,ATL,ED,74.9,250.9,125.60,33.9,4.58,1.62,7.12,4.36,37.13
17,ATL,G,75.8,307.7,114.87,33.6,4.99,1.72,7.56,4.56,30.35
18,ATL,HB,71.1,212.5,124.00,31.4,4.44,1.52,NA,NA,37.00
19,ATL,LB,73.5,234.1,123.26,32.1,4.57,1.58,7.00,4.28,35.07
20,ATL,QB,75.4,211.0,127.00,32.8,4.52,1.54,7.15,4.29,36.00
21,ATL,S,72.1,206.6,129.19,32.7,4.52,1.57,6.85,4.34,37.82
22,ATL,T,77.7,315.8,104.54,33.4,5.13,1.77,7.53,4.62,30.47
23,ATL,TE,77.2,247.1,126.22,33.6,4.50,1.63,7.09,4.30,33.38
24,ATL,WR,74.6,212.0,125.39,33.0,4.37,1.52,6.74,4.31,35.62
25,BAL,C,74.1,296.0,110.00,31.1,5.04,1.78,7.13,4.57,32.50
26,BAL,CB,73.1,205.9,124.58,32.3,4.42,1.55,6.83,4.06,36.61
27,BAL,DI,75.6,306.0,106.02,33.5,4.95,1.72,7.48,4.64,30.47
28,BAL,ED,75.6,256.7,119.40,33.1,4.64,1.62,7.03,4.36,33.80
29,BAL,G,77.5,338.8,100.39,34.8,5.15,1.83,8.01,4.94,26.55
30,BAL,HB,70.7,212.9,123.00,30.5,4.45,1.60,7.07,4.28,36.50
31,BAL,LB,73.3,235.7,119.91,32.6,4.57,1.57,7.13,4.34,35.41
32,BAL,S,73.0,211.5,124.21,32.5,4.50,1.59,7.04,4.39,37.16
33,BAL,T,78.4,321.5,96.36,35.3,5.35,1.86,7.92,4.93,26.81
34,BAL,TE,76.7,252.6,117.89,33.1,4.74,1.66,7.29,4.38,32.52
35,BAL,WR,71.7,193.1,126.93,31.5,4.38,1.54,6.89,4.21,37.42
36,BUF,CB,72.1,191.3,123.15,31.3,4.40,1.53,6.83,4.13,36.40
37,BUF,DI,74.8,304.8,109.45,33.0,4.92,1.71,7.57,4.50,30.52
38,BUF,ED,76.3,270.4,118.39,33.7,4.76,1.65,7.28,4.33,32.26
39,BUF,G,75.8,322.5,103.02,33.8,5.27,1.83,8.13,4.85,25.96
40,BUF,HB,69.4,207.4,120.69,30.3,4.57,1.59,7.32,4.39,33.66
41,BUF,LB,74.3,243.7,116.76,32.9,4.66,1.63,7.18,4.25,32.64
42,BUF,QB,76.8,237.0,118.56,33.3,4.71,1.63,6.98,4.32,33.72
43,BUF,S,71.9,204.0,127.00,31.5,4.55,1.60,6.72,4.07,37.50
44,BUF,T,78.0,325.1,104.04,35.1,5.16,1.83,7.70,4.81,27.49
45,BUF,TE,75.9,248.5,122.00,32.9,4.59,1.57,7.12,4.27,34.50
46,BUF,WR,72.3,201.0,125.64,32.0,4.42,1.56,6.90,4.25,35.27
47,CAR,CB,72.2,200.4,127.98,32.4,4.44,1.55,6.94,4.18,38.54
48,CAR,DI,75.1,313.6,104.58,33.7,5.15,1.82,7.87,4.70,27.95
49,CAR,ED,76.7,261.2,122.62,34.5,4.69,1.61,6.97,4.42,34.47
50,CAR,G,75.3,310.6,105.15,33.4,5.18,1.84,8.03,4.83,30.02
51,CAR,HB,71.0,202.0,121.00,30.0,4.48,1.55,6.57,4.22,37.50
52,CAR,LB,74.3,240.5,118.62,32.1,4.58,1.61,6.95,4.10,35.39
53,CAR,QB,73.6,224.1,123.75,32.0,4.61,1.61,6.95,4.20,34.84
54,CAR,S,74.0,210.2,129.47,31.5,4.52,1.62,7.16,4.33,36.06
55,CAR,T,76.7,310.3,111.59,33.7,4.98,1.75,7.70,4.64,30.39
56,CAR,TE,75.3,241.0,122.00,31.9,4.60,NA,NA,NA,36.50
57,CAR,WR,74.1,217.9,124.49,32.7,4.48,1.58,7.08,4.30,37.56
58,CHI,C,75.4,299.2,110.00,32.3,5.02,1.71,7.56,4.65,25.50
59,CHI,CB,71.8,193.1,126.58,32.1,4.49,1.57,6.91,4.17,38.32
60,CHI,DI,75.2,307.9,107.95,32.9,5.06,1.78,7.63,4.78,29.43
61,CHI,ED,76.6,251.0,123.04,33.0,4.61,1.59,7.13,4.32,35.98
62,CHI,G,76.9,310.0,107.43,33.5,4.91,1.74,7.60,4.53,29.07
63,CHI,HB,70.1,222.0,121.00,31.4,4.63,1.63,7.12,4.23,28.50
64,CHI,LB,72.9,239.0,117.33,32.3,4.54,1.58,6.99,4.24,33.17
65,CHI,QB,74.4,224.0,116.00,32.2,4.58,1.62,6.87,4.25,27.50
66,CHI,S,73.8,198.2,125.17,31.3,4.50,1.60,6.95,4.19,34.89
67,CHI,T,77.8,323.1,110.40,34.1,5.07,1.80,7.72,4.66,30.67
68,CHI,TE,78.1,269.9,122.01,33.2,4.74,1.68,7.27,4.40,34.78
69,CHI,WR,73.5,210.6,120.74,32.2,4.40,1.55,6.89,4.23,36.43
70,CIN,C,75.8,305.0,NA,32.0,NA,NA,NA,NA,NA
71,CIN,CB,72.2,191.0,120.29,31.2,4.43,1.55,6.95,4.23,34.48
72,CIN,DI,76.3,285.2,100.00,33.5,4.84,1.69,7.54,4.50,30.51
73,CIN,ED,77.4,268.2,119.79,33.7,4.74,1.64,7.06,4.44,35.25
74,CIN,G,75.9,314.0,101.00,32.8,5.32,1.81,7.77,4.61,29.00
75,CIN,HB,71.1,219.8,117.98,30.1,4.54,1.57,7.19,4.31,32.63
76,CIN,LB,73.8,240.2,119.55,32.2,4.61,1.63,6.97,4.30,33.99
77,CIN,QB,75.1,219.4,106.00,31.1,4.83,1.77,6.93,4.27,29.50
78,CIN,S,71.9,202.2,118.53,31.3,4.45,1.55,6.90,4.21,34.94
79,CIN,T,77.0,306.8,100.00,34.1,5.08,1.78,7.75,4.63,29.55
80,CIN,TE,77.3,250.7,117.99,33.2,4.70,1.65,7.05,4.36,34.55
81,CIN,WR,73.5,203.1,127.79,32.6,4.43,1.57,6.94,4.21,36.18
82,CLE,CB,71.9,191.9,127.23,32.0,4.39,1.52,6.90,4.30,36.84
83,CLE,DI,75.1,317.6,106.07,32.8,5.24,1.81,7.63,4.71,30.02
84,CLE,ED,76.2,262.9,122.94,34.4,4.66,1.62,7.14,4.46,36.09
85,CLE,G,76.8,307.5,110.74,33.7,5.10,1.81,7.57,4.53,30.18
86,CLE,HB,69.6,224.3,123.98,30.8,4.51,1.59,7.08,4.27,35.80
87,CLE,LB,73.7,229.6,123.61,32.5,4.62,1.59,7.09,4.29,36.99
88,CLE,QB,73.5,217.3,108.59,31.3,4.82,1.69,7.10,4.27,30.27
89,CLE,S,72.5,213.0,128.00,30.6,4.46,1.54,NA,NA,35.50
90,CLE,T,76.8,312.8,103.87,34.2,5.18,1.85,7.86,4.85,31.46
91,CLE,TE,76.0,246.0,133.00,35.3,4.64,1.61,6.97,4.34,37.50
92,CLE,WR,72.7,205.7,126.51,31.7,4.46,1.53,7.08,4.32,37.70
93,DAL,C,75.6,312.0,97.00,33.0,5.58,1.91,7.81,4.76,28.50
94,DAL,CB,72.1,194.5,128.21,32.2,4.45,1.54,6.93,4.16,36.24
95,DAL,DI,74.6,303.5,112.06,33.5,4.93,1.73,7.58,4.56,31.28
96,DAL,ED,76.3,259.3,118.86,33.9,4.75,1.65,7.20,4.37,34.30
97,DAL,G,76.5,303.5,108.27,32.9,5.05,1.72,7.72,4.61,30.27
98,DAL,HB,71.7,222.0,119.50,31.4,4.45,1.57,7.28,4.18,33.00
99,DAL,LB,75.1,246.1,124.90,32.6,4.53,1.58,6.96,4.32,36.53
100,DAL,S,72.0,213.0,124.00,31.0,4.57,1.57,7.02,4.09,35.00
101,DAL,T,76.8,314.1,107.11,35.1,5.00,1.70,7.67,4.67,29.53
102,DAL,TE,77.5,252.6,120.11,33.3,4.74,1.64,6.95,4.29,32.70
103,DAL,WR,73.4,200.7,122.41,31.9,4.50,1.57,7.01,4.31,34.65
