team,projected_position,avgheight,avgweight,avgbroad,avgarm,avgfourty,avgten,avgthree,avgshuttle,avgvert
ARI,C,75.2,303.8,100.00,32.2,5.28,1.85,7.65,4.74,26.00
ATL,C,75.4,306.7,104.50,32.4,5.15,1.80,7.39,4.56,31.50
BAL,C,74.8,306.5,104.00,33.6,5.14,1.82,7.41,4.57,29.00
CHI,C,74.9,299.0,109.50,32.3,5.00,1.71,7.66,4.65,27.50
CIN,C,75.4,307.5,109.00,32.3,5.18,1.85,8.26,4.66,29.00
CLE,C,75.2,304.0,105.50,32.5,5.11,1.75,7.52,4.49,29.25
DAL,C,75.6,313.0,97.00,32.6,5.58,1.91,7.81,4.76,28.50
DEN,C,75.4,309.2,107.50,33.6,5.20,1.78,7.64,4.66,28.88
DET,C,77.1,312.0,105.00,33.1,5.14,1.81,7.89,4.58,29.75
GB,C,76.0,304.0,111.33,32.7,5.14,1.78,7.42,4.56,29.83
HOU,C,75.4,301.0,101.00,32.5,5.29,1.83,7.76,4.73,29.25
IND,C,75.4,304.3,104.00,31.9,5.15,1.78,7.63,4.62,29.13
JAX,C,77.1,306.7,100.33,33.8,5.27,1.83,7.68,4.80,25.83
KC,C,75.9,305.0,106.75,32.4,5.14,1.81,7.64,4.57,29.88
LA,C,74.8,303.0,99.00,32.4,5.39,1.87,7.81,4.71,26.50
LAC,C,75.2,302.0,111.00,32.1,5.14,1.75,7.50,4.69,33.50
LV,C,75.0,303.0,105.00,32.1,5.30,1.68,7.48,4.46,31.00
MIA,C,77.0,303.0,96.00,32.3,5.12,1.85,7.66,4.64,25.00
MIN,C,74.8,304.5,101.50,32.5,5.12,1.87,7.68,4.62,27.25
NE,C,75.4,321.7,101.67,33.8,5.33,1.79,8.21,4.95,26.00
NO,C,75.9,303.0,107.00,33.0,4.89,NA,8.28,4.62,31.00
NYG,C,75.4,298.0,106.00,33.4,5.10,1.84,7.93,4.63,25.50
PHI,C,75.8,303.0,114.50,32.8,4.91,1.74,7.21,4.32,32.00
PIT,C,77.4,297.0,111.00,33.1,5.11,1.73,7.40,4.64,29.00
SEA,C,75.8,312.0,100.00,31.8,5.19,1.81,8.14,4.69,27.50
SF,C,75.1,312.3,105.00,32.9,5.17,1.83,7.59,4.81,32.50
TEN,C,75.1,309.0,103.33,32.8,5.22,1.82,7.51,4.68,26.67
WAS,C,75.3,307.0,104.00,32.2,5.31,1.82,7.81,4.59,28.75
NFL Average,C,75.6,305.8,104.66,32.7,5.18,1.80,7.70,4.64,28.77
ARI,CB,71.5,199.8,125.13,31.1,4.42,1.58,6.78,4.15,36.94
ATL,CB,71.6,192.3,126.50,31.5,4.45,1.55,6.87,4.10,36.44
BAL,CB,71.9,194.3,121.36,31.5,4.45,1.56,6.90,4.15,35.25
BUF,CB,71.6,193.1,121.15,31.1,4.48,1.56,7.02,4.25,36.00
CAR,CB,71.7,193.5,124.08,31.5,4.48,1.57,7.03,4.32,36.42
CHI,CB,71.6,194.0,125.63,32.2,4.51,1.58,7.05,4.17,37.88
CIN,CB,71.7,195.0,123.00,31.1,4.46,1.56,6.92,4.22,35.08
CLE,CB,71.5,190.4,124.82,31.8,4.47,1.56,6.87,4.20,35.58
DAL,CB,72.2,196.2,125.80,31.9,4.47,1.57,6.99,4.17,36.43
DEN,CB,71.3,194.5,124.30,31.7,4.45,1.55,6.92,4.16,37.11
DET,CB,72.0,197.2,124.30,31.7,4.48,1.57,7.04,4.22,37.05
GB,CB,71.7,194.7,122.00,31.2,4.46,1.56,6.85,4.15,36.78
HOU,CB,71.3,192.4,121.50,30.8,4.50,1.63,6.91,4.21,35.29
IND,CB,72.2,194.8,123.43,32.0,4.47,1.57,6.95,4.26,36.29
JAX,CB,71.6,192.5,124.46,31.8,4.45,1.57,6.99,4.22,37.27
KC,CB,72.0,197.3,122.92,31.4,4.47,1.56,6.96,4.19,35.89
LA,CB,70.7,191.9,120.50,31.6,4.50,1.57,6.94,4.21,35.94
LAC,CB,70.7,192.1,124.44,30.9,4.46,1.54,6.93,4.20,36.39
LV,CB,72.0,197.9,127.50,31.5,4.46,1.57,6.91,4.21,37.35
MIA,CB,71.5,195.0,124.30,31.2,4.49,1.57,6.87,4.14,35.30
MIN,CB,72.0,195.9,124.91,31.5,4.49,1.57,7.06,4.23,36.04
NE,CB,70.8,191.9,125.11,31.1,4.48,1.58,6.80,4.12,36.89
NO,CB,71.9,199.9,123.20,31.5,4.49,1.56,6.92,4.23,36.50
NYG,CB,71.6,192.1,125.00,30.8,4.44,1.57,6.96,4.17,36.57
NYJ,CB,72.1,196.0,125.56,31.9,4.44,1.54,7.04,4.28,37.11
PHI,CB,71.5,193.9,122.22,31.2,4.48,1.56,6.88,4.16,36.39
PIT,CB,71.3,190.0,123.89,31.1,4.49,1.57,6.91,4.18,34.78
SEA,CB,72.9,198.2,125.15,32.1,4.47,1.57,7.04,4.28,36.65
SF,CB,72.0,191.8,125.50,31.7,4.44,1.56,6.94,4.27,37.50
TB,CB,71.9,195.7,124.70,31.8,4.47,1.58,6.99,4.20,36.90
TEN,CB,71.4,193.5,122.80,31.1,4.48,1.56,6.95,4.21,36.40
WAS,CB,71.4,192.5,122.27,30.9,4.48,1.57,6.91,4.27,36.18
NFL Average,CB,71.7,194.4,123.98,31.4,4.47,1.57,6.94,4.20,36.39
ARI,DI,75.7,299.7,111.00,33.9,5.02,1.73,7.72,4.70,29.63
ATL,DI,75.2,301.6,109.83,33.0,5.00,1.75,7.47,4.61,30.75
BAL,DI,75.4,308.6,107.88,33.4,4.96,1.74,7.51,4.66,29.56
BUF,DI,74.9,303.5,107.00,33.4,5.01,1.74,7.58,4.53,30.50
CAR,DI,74.8,313.6,103.86,33.5,5.12,1.79,7.77,4.68,28.07
CHI,DI,74.6,309.7,106.20,32.5,5.09,1.76,7.69,4.73,29.08
CIN,DI,75.0,313.4,107.40,33.6,5.12,1.79,7.80,4.67,29.14
CLE,DI,75.2,301.1,110.44,33.1,5.03,1.76,7.43,4.61,29.95
DAL,DI,74.8,303.6,108.00,33.5,5.08,1.76,7.74,4.64,30.39
DEN,DI,75.6,294.6,108.00,33.5,4.99,1.75,7.53,4.53,30.38
DET,DI,74.8,302.3,106.67,33.5,4.98,1.76,7.67,4.68,28.45
GB,DI,75.1,303.3,108.71,32.6,4.98,1.73,7.51,4.61,29.82
HOU,DI,75.4,300.0,107.60,33.4,5.03,1.77,7.59,4.55,30.89
IND,DI,75.1,306.7,108.89,32.6,5.05,1.75,7.65,4.58,29.50
JAX,DI,74.5,307.2,104.60,32.5,5.03,1.71,7.61,4.61,30.10
KC,DI,74.8,309.9,105.50,33.0,5.02,1.73,7.71,4.68,29.70
LA,DI,74.4,305.8,110.00,33.5,5.06,1.75,7.48,4.61,30.17
