"","team","GM","projected_position","avgheight","avgweight","avgbroad","avgarm","avgfourty","avgten","avgthree","avgshuttle","avgvert","minheight","maxheight","minweight","maxweight","minbroad","maxbroad","minarm","maxarm","minfourty","maxfourty","minten","maxten","minthree","maxthree","minshuttle","maxshuttle","minvert","maxvert","players"
"1","ARI","Monti Ossenfort","C",76,303,114,33.62,5.01,1.73,7.31,4.45,32.5,76,76,303,303,114,114,33.6,33.6,5.01,5.01,1.73,1.73,7.31,7.31,4.45,4.45,32.5,32.5,1
"2","ARI","Monti Ossenfort","CB",70,189.1,122,30.64,4.42,1.49,NA,4.21,34.5,70,70,181,192,122,122,29.6,31,4.42,4.42,1.49,1.49,Inf,-Inf,4.21,4.21,34.5,34.5,2
"3","ARI","Monti Ossenfort","DI",75,286,113,32.38,4.85,1.72,7.38,4.61,28.5,75,75,286,286,113,113,32.4,32.4,4.85,4.85,1.72,1.72,7.38,7.38,4.61,4.61,28.5,28.5,1
"4","ARI","Monti Ossenfort","LB",73.6,242.8,126,33.69,4.39,1.52,7.57,NA,33.17,72,74,225,248,126,126,31.8,34.2,4.39,4.39,1.52,1.52,7.57,7.57,Inf,-Inf,32.5,35.5,2
"5","ARI","Monti Ossenfort","QB",74,220,122,31.38,4.64,1.55,6.89,4.25,37.5,74,74,220,220,122,122,31.4,31.4,4.64,4.64,1.55,1.55,6.89,6.89,4.25,4.25,37.5,37.5,1
"6","ARI","Monti Ossenfort","T",78,313,110,36.12,NA,NA,NA,NA,NA,78,78,313,313,110,110,36.1,36.1,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,1
"7","ARI","Monti Ossenfort","WR",74,213,125,31,4.58,1.5,6.81,4.27,37.5,74,74,213,213,125,125,31,31,4.58,4.58,1.5,1.5,6.81,6.81,4.27,4.27,37.5,37.5,1
"8","ATL","Terry Fontenot","C",73.2,299,99,32,5.11,1.74,7.33,4.52,33,73.2,73.2,299,299,99,99,32,32,5.11,5.11,1.74,1.74,7.33,7.33,4.52,4.52,33,33,1
"9","ATL","Terry Fontenot","CB",69.7,186.2,128.43,29.67,4.48,1.55,7.01,4.24,35.35,68.4,71.1,184,188,121,132,28.8,30.6,4.43,4.51,1.51,1.58,6.88,7.07,4,4.32,33,38.5,3
"10","ATL","Terry Fontenot","DI",75.1,292,115,35,4.89,1.67,7.31,4.68,32.5,75.1,75.1,292,292,115,115,35,35,4.89,4.89,1.67,1.67,7.31,7.31,4.68,4.68,32.5,32.5,1
"11","ATL","Terry Fontenot","ED",75.5,255.6,123.7,34.57,4.65,1.66,7.1,4.42,35.89,74.4,77,243,274,119,128,33.1,36.2,4.6,4.75,1.6,1.71,6.95,7.33,4.24,4.66,32,38,4
"12","ATL","Terry Fontenot","G",75.2,307.5,107.77,32.67,5.13,1.75,8.02,4.83,26.27,74,75.9,297,314,107,109,31.8,33.2,5.12,5.14,1.72,1.8,7.9,8.09,4.8,4.85,25.5,27.5,2
"13","ATL","Terry Fontenot","HB",71,216.4,123.37,31.18,4.48,1.53,7.09,4.36,36.37,70.8,71,215,224,120,124,31.1,31.5,4.46,4.6,1.52,1.56,7.09,7.09,4.36,4.36,33,37,2
"14","ATL","Terry Fontenot","LB",75.5,243,128,32.12,4.42,1.49,NA,NA,36,75.5,75.5,243,243,128,128,32.1,32.1,4.42,4.42,1.49,1.49,Inf,-Inf,Inf,-Inf,36,36,1
"15","ATL","Terry Fontenot","QB",75.4,211,127,32.75,4.52,1.54,7.15,4.29,36,75.4,75.4,211,211,127,127,32.8,32.8,4.52,4.52,1.54,1.54,7.15,7.15,4.29,4.29,36,36,1
"16","ATL","Terry Fontenot","S",71.6,197.7,128.01,32.42,4.5,1.54,6.84,4.31,34.07,71.4,73,197,203,121,129,31,32.6,4.49,4.57,1.54,1.57,6.78,7.29,4.27,4.57,31,34.5,2
"17","ATL","Terry Fontenot","T",77,321.3,100.08,33.28,5.31,1.81,7.58,4.76,29.66,77,77,318,326,96,103,32.6,33.8,5.31,5.31,1.81,1.81,7.38,7.86,4.66,4.91,28.5,30.5,2
"18","ATL","Terry Fontenot","TE",77.7,246.2,129,33.52,4.44,1.55,7.12,4.3,33.5,77.6,79.1,245,262,129,129,33.5,33.8,4.44,4.44,1.55,1.55,7.12,7.12,4.3,4.3,33.5,33.5,2
"19","ATL","Terry Fontenot","WR",75.4,216.9,117,32.86,4.61,1.59,7.05,4.25,34.5,72,75.9,201,219,117,117,31.8,33,4.61,4.61,1.59,1.59,7.05,7.05,4.25,4.25,34.5,34.5,2
"20","BAL","Eric DeCosta","C",74.1,296,110,31.12,5.04,1.78,7.13,4.57,32.5,74.1,74.1,296,296,110,110,31.1,31.1,5.04,5.04,1.78,1.78,7.13,7.13,4.57,4.57,32.5,32.5,1
"21","BAL","Eric DeCosta","CB",72.1,201.1,122.02,31.14,4.47,1.56,7.09,4.32,35.2,70.2,72.9,182,219,117,131,29.6,32.5,4.39,4.53,1.51,1.62,6.93,7.26,4.14,4.39,32.5,38,5
"22","BAL","Eric DeCosta","DI",74.9,312.4,107.5,33.27,4.91,1.75,7.47,4.7,28.03,73,76.4,293,336,102,110,31.2,34.2,4.83,5.1,1.73,1.78,7.33,8.02,4.58,4.95,27,28.5,4
"23","BAL","Eric DeCosta","ED",76.6,257.3,124.56,34,4.57,1.62,7.27,4.48,35.54,75.4,78,250,271,117,134,32.9,34.5,4.39,4.82,1.59,1.7,6.84,8.08,4.15,5.12,32,39.5,5
"24","BAL","Eric DeCosta","G",77.1,328,98.53,33.31,5.1,1.8,8.17,4.99,26.84,76,78,307,354,93,105,31.1,35.1,4.85,5.37,1.77,1.84,8.17,8.17,4.88,5.11,25,29,5
"25","BAL","Eric DeCosta","HB",69.3,203.9,127.28,30.29,4.42,1.54,7.07,4.28,38.04,68,69.6,197,209,121,130,29.4,31.6,4.4,4.45,1.5,1.56,7.07,7.07,4.28,4.28,33.5,40,3
"26","BAL","Eric DeCosta","LB",73.3,234.8,122.45,32.09,4.52,1.59,6.96,4.28,36.68,72.2,74.6,229,247,118,125,31.6,32.8,4.43,4.66,1.55,1.64,6.83,7.07,4.25,4.32,35,40.5,3
"27","BAL","Eric DeCosta","QB",72.1,202,115,31,4.57,1.62,7.09,4.12,33,72.1,72.1,202,202,115,115,31,31,4.57,4.57,1.62,1.62,7.09,7.09,4.12,4.12,33,33,1
"28","BAL","Eric DeCosta","S",75.1,215.3,128.6,32.79,4.57,1.56,6.9,4.32,37.57,70.4,76.1,196,220,116,131,29.2,33.5,4.44,4.62,1.53,1.58,6.9,6.9,4.32,4.32,33.5,38,3
