"","team","projected_position","avgheight","avgweight","avgbroad","avgarm","avgfourty","avgten","avgthree","avgshuttle","avgvert","minheight","maxheight","minweight","maxweight","minbroad","maxbroad","minarm","maxarm","minfourty","maxfourty","minten","maxten","minthree","maxthree","minshuttle","maxshuttle","minvert","maxvert","players"
"1","ARI","C",75.4,304.2,104.76,32.55,5.19,1.8,7.55,4.65,27.79,74.1,76.1,301,307,96,114,31.5,33.6,5.01,5.33,1.73,1.91,7.31,7.77,4.45,4.78,23.5,32.5,5
"2","ARI","CB",71.4,202,124.9,31.41,4.41,1.56,6.73,4.11,36.93,70,74,181,219,118,136,29,33.5,4.31,4.55,1.49,1.62,6.58,7.22,3.97,4.3,30.5,43.5,12
"3","ARI","DI",75.7,300.4,113.24,33.92,4.98,1.73,7.71,4.71,31.35,74,77.4,284,330,103,116,32.4,34.5,4.85,5.15,1.67,1.8,7.38,8.07,4.61,4.75,27,35,8
"4","ARI","ED",75.2,255.8,120.54,33.19,4.73,1.65,7.12,4.39,33.57,73,77.9,228,281,110,133,31.1,35,4.52,5,1.57,1.74,6.69,7.39,4.27,4.59,28.5,37.5,11
"5","ARI","G",75.1,307.7,107.1,33.46,5.15,1.83,7.87,4.85,27.37,74.1,77.2,300,318,99,114,31.9,35.2,5.06,5.39,1.79,1.92,7.77,8.39,4.58,5.09,23.5,30,7
"6","ARI","HB",70.1,211.8,121.8,30.94,4.57,1.61,6.92,4.25,37.08,68.9,72.6,196,224,110,127,30.1,32,4.37,4.76,1.53,1.65,6.61,7.19,4.07,4.5,30,41.5,8
"7","ARI","LB",74.4,239.8,124.94,33.05,4.57,1.58,7.27,4.36,35.55,71.8,76.9,211,259,115,132,31.6,34.2,4.39,4.81,1.51,1.69,6.96,7.57,4.21,4.5,32,39,8
"8","ARI","QB",72.6,215.2,112.5,29.97,4.87,1.68,7.1,4.29,31.91,70.1,76,207,229,108,122,28.5,32.6,4.64,4.92,1.55,1.71,6.89,7.52,4.25,4.45,29.5,37.5,4
"9","ARI","S",70.2,192.2,116.67,30.98,4.48,1.55,6.84,4.15,33.28,68.8,73,182,205,115,120,30.2,32.1,4.4,4.57,1.5,1.6,6.76,7.13,4.08,4.42,32,35.5,6
"10","ARI","T",77.8,311.1,107.35,34.95,5.19,1.84,7.8,4.72,30.07,77,79.5,303,316,100,119,33.2,36.1,4.9,5.47,1.75,1.86,7.49,8.07,4.64,4.95,27.5,36,7
"11","ARI","TE",77.3,253.5,116.31,33.71,4.58,1.61,7.24,4.38,33.89,74.8,78.5,240,270,113,119,32.5,34.5,4.46,4.97,1.58,1.73,6.9,7.62,4.18,4.7,29,37,7
"12","ARI","WR",71.8,200.6,122.06,31.27,4.41,1.57,6.97,4.25,36.68,67,77.4,156,227,115,128,28.2,35.2,4.28,4.63,1.49,1.63,6.68,7.28,4.1,4.45,30,42.5,13
"13","ATL","C",75.6,308.6,99,32.64,5.14,1.74,7.33,4.52,33,73.2,77,299,314,99,99,32,33,5.11,5.16,1.74,1.74,7.33,7.33,4.52,4.52,33,33,2
"14","ATL","CB",71.8,193.1,126.87,31.51,4.45,1.55,6.88,4.13,36.05,68.4,73.5,184,203,121,132,28.8,33.5,4.38,4.51,1.5,1.61,6.67,7.09,3.85,4.32,33,39,10
